year,shock,variable,pct_dev
2043,Human capital investment,Policy rate (R<sup>mp</sup><sub>t</sub>),-5.252
2044,Human capital investment,Policy rate (R<sup>mp</sup><sub>t</sub>),-5.644
2045,Human capital investment,Policy rate (R<sup>mp</sup><sub>t</sub>),-6.028
2046,Human capital investment,Policy rate (R<sup>mp</sup><sub>t</sub>),-6.402
2047,Human capital investment,Policy rate (R<sup>mp</sup><sub>t</sub>),-6.765
2048,Human capital investment,Policy rate (R<sup>mp</sup><sub>t</sub>),-7.117
2049,Human capital investment,Policy rate (R<sup>mp</sup><sub>t</sub>),-7.457
2050,Human capital investment,Policy rate (R<sup>mp</sup><sub>t</sub>),-7.785
2025,R&D investment,Policy rate (R<sup>mp</sup><sub>t</sub>),0.0
2026,R&D investment,Policy rate (R<sup>mp</sup><sub>t</sub>),-0.39
2027,R&D investment,Policy rate (R<sup>mp</sup><sub>t</sub>),-0.713
2028,R&D investment,Policy rate (R<sup>mp</sup><sub>t</sub>),-1.127
2029,R&D investment,Policy rate (R<sup>mp</sup><sub>t</sub>),-1.58
2030,R&D investment,Policy rate (R<sup>mp</sup><sub>t</sub>),-2.043
2031,R&D investment,Policy rate (R<sup>mp</sup><sub>t</sub>),-2.505
2032,R&D investment,Policy rate (R<sup>mp</sup><sub>t</sub>),-2.956
2033,R&D investment,Policy rate (R<sup>mp</sup><sub>t</sub>),-3.391
2034,R&D investment,Policy rate (R<sup>mp</sup><sub>t</sub>),-3.809
2035,R&D investment,Policy rate (R<sup>mp</sup><sub>t</sub>),-4.206
2036,R&D investment,Policy rate (R<sup>mp</sup><sub>t</sub>),-4.583
2037,R&D investment,Policy rate (R<sup>mp</sup><sub>t</sub>),-4.939
2038,R&D investment,Policy rate (R<sup>mp</sup><sub>t</sub>),-5.274
2039,R&D investment,Policy rate (R<sup>mp</sup><sub>t</sub>),-5.589
2040,R&D investment,Policy rate (R<sup>mp</sup><sub>t</sub>),-5.884
2041,R&D investment,Policy rate (R<sup>mp</sup><sub>t</sub>),-6.161
2042,R&D investment,Policy rate (R<sup>mp</sup><sub>t</sub>),-6.419
2043,R&D investment,Policy rate (R<sup>mp</sup><sub>t</sub>),-6.661
2044,R&D investment,Policy rate (R<sup>mp</sup><sub>t</sub>),-6.888
2045,R&D investment,Policy rate (R<sup>mp</sup><sub>t</sub>),-7.099
2046,R&D investment,Policy rate (R<sup>mp</sup><sub>t</sub>),-7.296
2047,R&D investment,Policy rate (R<sup>mp</sup><sub>t</sub>),-7.48
2048,R&D investment,Policy rate (R<sup>mp</sup><sub>t</sub>),-7.651
2049,R&D investment,Policy rate (R<sup>mp</sup><sub>t</sub>),-7.811
2050,R&D investment,Policy rate (R<sup>mp</sup><sub>t</sub>),-7.96
2025,Government consumption,Policy rate (R<sup>mp</sup><sub>t</sub>),0.0
2026,Government consumption,Policy rate (R<sup>mp</sup><sub>t</sub>),-0.464
2027,Government consumption,Policy rate (R<sup>mp</sup><sub>t</sub>),-0.512
2028,Government consumption,Policy rate (R<sup>mp</sup><sub>t</sub>),-0.557
2029,Government consumption,Policy rate (R<sup>mp</sup><sub>t</sub>),-0.6
2030,Government consumption,Policy rate (R<sup>mp</sup><sub>t</sub>),-0.64
2031,Government consumption,Policy rate (R<sup>mp</sup><sub>t</sub>),-0.679
2032,Government consumption,Policy rate (R<sup>mp</sup><sub>t</sub>),-0.716
2033,Government consumption,Policy rate (R<sup>mp</sup><sub>t</sub>),-0.75
2034,Government consumption,Policy rate (R<sup>mp</sup><sub>t</sub>),-0.784
2035,Government consumption,Policy rate (R<sup>mp</sup><sub>t</sub>),-0.815
2036,Government consumption,Policy rate (R<sup>mp</sup><sub>t</sub>),-0.845
2037,Government consumption,Policy rate (R<sup>mp</sup><sub>t</sub>),-0.873
2038,Government consumption,Policy rate (R<sup>mp</sup><sub>t</sub>),-0.9
2039,Government consumption,Policy rate (R<sup>mp</sup><sub>t</sub>),-0.926
2040,Government consumption,Policy rate (R<sup>mp</sup><sub>t</sub>),-0.95
2041,Government consumption,Policy rate (R<sup>mp</sup><sub>t</sub>),-0.973
2042,Government consumption,Policy rate (R<sup>mp</sup><sub>t</sub>),-0.995
2043,Government consumption,Policy rate (R<sup>mp</sup><sub>t</sub>),-1.016
2044,Government consumption,Policy rate (R<sup>mp</sup><sub>t</sub>),-1.035
2045,Government consumption,Policy rate (R<sup>mp</sup><sub>t</sub>),-1.054
2046,Government consumption,Policy rate (R<sup>mp</sup><sub>t</sub>),-1.071
2047,Government consumption,Policy rate (R<sup>mp</sup><sub>t</sub>),-1.088
2048,Government consumption,Policy rate (R<sup>mp</sup><sub>t</sub>),-1.104
2049,Government consumption,Policy rate (R<sup>mp</sup><sub>t</sub>),-1.119
2050,Government consumption,Policy rate (R<sup>mp</sup><sub>t</sub>),-1.133
2025,Infrastructure investment,Nominal bond rate (R<sub>t</sub>),0.0
2026,Infrastructure investment,Nominal bond rate (R<sub>t</sub>),-0.817
2027,Infrastructure investment,Nominal bond rate (R<sub>t</sub>),-1.087
2028,Infrastructure investment,Nominal bond rate (R<sub>t</sub>),-1.351
2029,Infrastructure investment,Nominal bond rate (R<sub>t</sub>),-1.605
2030,Infrastructure investment,Nominal bond rate (R<sub>t</sub>),-1.85
2031,Infrastructure investment,Nominal bond rate (R<sub>t</sub>),-2.084
2032,Infrastructure investment,Nominal bond rate (R<sub>t</sub>),-2.307
2033,Infrastructure investment,Nominal bond rate (R<sub>t</sub>),-2.52
2034,Infrastructure investment,Nominal bond rate (R<sub>t</sub>),-2.721
2035,Infrastructure investment,Nominal bond rate (R<sub>t</sub>),-2.912
2036,Infrastructure investment,Nominal bond rate (R<sub>t</sub>),-3.093
2037,Infrastructure investment,Nominal bond rate (R<sub>t</sub>),-3.264
2038,Infrastructure investment,Nominal bond rate (R<sub>t</sub>),-3.425
2039,Infrastructure investment,Nominal bond rate (R<sub>t</sub>),-3.577
2040,Infrastructure investment,Nominal bond rate (R<sub>t</sub>),-3.721
2041,Infrastructure investment,Nominal bond rate (R<sub>t</sub>),-3.857
2042,Infrastructure investment,Nominal bond rate (R<sub>t</sub>),-3.985
2043,Infrastructure investment,Nominal bond rate (R<sub>t</sub>),-4.105
2044,Infrastructure investment,Nominal bond rate (R<sub>t</sub>),-4.218
2045,Infrastructure investment,Nominal bond rate (R<sub>t</sub>),-4.325
2046,Infrastructure investment,Nominal bond rate (R<sub>t</sub>),-4.425
2047,Infrastructure investment,Nominal bond rate (R<sub>t</sub>),-4.52
2048,Infrastructure investment,Nominal bond rate (R<sub>t</sub>),-4.609
2049,Infrastructure investment,Nominal bond rate (R<sub>t</sub>),-4.692
2050,Infrastructure investment,Nominal bond rate (R<sub>t</sub>),-4.771
2025,Human capital investment,Nominal bond rate (R<sub>t</sub>),0.0
2026,Human capital investment,Nominal bond rate (R<sub>t</sub>),-0.538
2027,Human capital investment,Nominal bond rate (R<sub>t</sub>),-0.426
2028,Human capital investment,Nominal bond rate (R<sub>t</sub>),-0.41
2029,Human capital investment,Nominal bond rate (R<sub>t</sub>),-0.479
2030,Human capital investment,Nominal bond rate (R<sub>t</sub>),-0.62
2031,Human capital investment,Nominal bond rate (R<sub>t</sub>),-0.823
2032,Human capital investment,Nominal bond rate (R<sub>t</sub>),-1.077
2033,Human capital investment,Nominal bond rate (R<sub>t</sub>),-1.373
2034,Human capital investment,Nominal bond rate (R<sub>t</sub>),-1.702
2035,Human capital investment,Nominal bond rate (R<sub>t</sub>),-2.059
2036,Human capital investment,Nominal bond rate (R<sub>t</sub>),-2.435
2037,Human capital investment,Nominal bond rate (R<sub>t</sub>),-2.826
2038,Human capital investment,Nominal bond rate (R<sub>t</sub>),-3.226
2039,Human capital investment,Nominal bond rate (R<sub>t</sub>),-3.633
2040,Human capital investment,Nominal bond rate (R<sub>t</sub>),-4.041
2041,Human capital investment,Nominal bond rate (R<sub>t</sub>),-4.449
2042,Human capital investment,Nominal bond rate (R<sub>t</sub>),-4.853
2043,Human capital investment,Nominal bond rate (R<sub>t</sub>),-5.252
2044,Human capital investment,Nominal bond rate (R<sub>t</sub>),-5.644
2045,Human capital investment,Nominal bond rate (R<sub>t</sub>),-6.028
2046,Human capital investment,Nominal bond rate (R<sub>t</sub>),-6.402
2047,Human capital investment,Nominal bond rate (R<sub>t</sub>),-6.765
2048,Human capital investment,Nominal bond rate (R<sub>t</sub>),-7.117
2049,Human capital investment,Nominal bond rate (R<sub>t</sub>),-7.457
2050,Human capital investment,Nominal bond rate (R<sub>t</sub>),-7.785
2025,R&D investment,Nominal bond rate (R<sub>t</sub>),0.0
2026,R&D investment,Nominal bond rate (R<sub>t</sub>),-0.39
2027,R&D investment,Nominal bond rate (R<sub>t</sub>),-0.713
2028,R&D investment,Nominal bond rate (R<sub>t</sub>),-1.127
2029,R&D investment,Nominal bond rate (R<sub>t</sub>),-1.58
2030,R&D investment,Nominal bond rate (R<sub>t</sub>),-2.043
2031,R&D investment,Nominal bond rate (R<sub>t</sub>),-2.505
2032,R&D investment,Nominal bond rate (R<sub>t</sub>),-2.956
2033,R&D investment,Nominal bond rate (R<sub>t</sub>),-3.391
2034,R&D investment,Nominal bond rate (R<sub>t</sub>),-3.809
2035,R&D investment,Nominal bond rate (R<sub>t</sub>),-4.206
2036,R&D investment,Nominal bond rate (R<sub>t</sub>),-4.583
2037,R&D investment,Nominal bond rate (R<sub>t</sub>),-4.939
2038,R&D investment,Nominal bond rate (R<sub>t</sub>),-5.274
2039,R&D investment,Nominal bond rate (R<sub>t</sub>),-5.589
2040,R&D investment,Nominal bond rate (R<sub>t</sub>),-5.884
2041,R&D investment,Nominal bond rate (R<sub>t</sub>),-6.161
2042,R&D investment,Nominal bond rate (R<sub>t</sub>),-6.419
2043,R&D investment,Nominal bond rate (R<sub>t</sub>),-6.661
2044,R&D investment,Nominal bond rate (R<sub>t</sub>),-6.888
2045,R&D investment,Nominal bond rate (R<sub>t</sub>),-7.099
2046,R&D investment,Nominal bond rate (R<sub>t</sub>),-7.296
2047,R&D investment,Nominal bond rate (R<sub>t</sub>),-7.48
2048,R&D investment,Nominal bond rate (R<sub>t</sub>),-7.651
2049,R&D investment,Nominal bond rate (R<sub>t</sub>),-7.811
2050,R&D investment,Nominal bond rate (R<sub>t</sub>),-7.96
2025,Government consumption,Nominal bond rate (R<sub>t</sub>),0.0
2026,Government consumption,Nominal bond rate (R<sub>t</sub>),-0.464
2027,Government consumption,Nominal bond rate (R<sub>t</sub>),-0.512
2028,Government consumption,Nominal bond rate (R<sub>t</sub>),-0.557
2029,Government consumption,Nominal bond rate (R<sub>t</sub>),-0.6
2030,Government consumption,Nominal bond rate (R<sub>t</sub>),-0.64
2031,Government consumption,Nominal bond rate (R<sub>t</sub>),-0.679
2032,Government consumption,Nominal bond rate (R<sub>t</sub>),-0.716
2033,Government consumption,Nominal bond rate (R<sub>t</sub>),-0.75
2034,Government consumption,Nominal bond rate (R<sub>t</sub>),-0.784
2035,Government consumption,Nominal bond rate (R<sub>t</sub>),-0.815
2036,Government consumption,Nominal bond rate (R<sub>t</sub>),-0.845
2037,Government consumption,Nominal bond rate (R<sub>t</sub>),-0.873
2038,Government consumption,Nominal bond rate (R<sub>t</sub>),-0.9
2039,Government consumption,Nominal bond rate (R<sub>t</sub>),-0.926
2040,Government consumption,Nominal bond rate (R<sub>t</sub>),-0.95
2041,Government consumption,Nominal bond rate (R<sub>t</sub>),-0.973
2042,Government consumption,Nominal bond rate (R<sub>t</sub>),-0.995
2043,Government consumption,Nominal bond rate (R<sub>t</sub>),-1.016
2044,Government consumption,Nominal bond rate (R<sub>t</sub>),-1.035
2045,Government consumption,Nominal bond rate (R<sub>t</sub>),-1.054
2046,Government consumption,Nominal bond rate (R<sub>t</sub>),-1.071
2047,Government consumption,Nominal bond rate (R<sub>t</sub>),-1.088
2048,Government consumption,Nominal bond rate (R<sub>t</sub>),-1.104
2049,Government consumption,Nominal bond rate (R<sub>t</sub>),-1.119
2050,Government consumption,Nominal bond rate (R<sub>t</sub>),-1.133
2025,Infrastructure investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.0
2026,Infrastructure investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.013
2027,Infrastructure investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.042
2028,Infrastructure investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.063
2029,Infrastructure investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.077
2030,Infrastructure investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.085
2031,Infrastructure investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.09
2032,Infrastructure investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.093
2033,Infrastructure investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.093
2034,Infrastructure investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.092
2035,Infrastructure investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.09
2036,Infrastructure investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.087
2037,Infrastructure investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.084
2038,Infrastructure investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.081
2039,Infrastructure investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.078
2040,Infrastructure investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.074
2041,Infrastructure investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.071
2042,Infrastructure investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.067
2043,Infrastructure investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.064
2044,Infrastructure investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.061
2045,Infrastructure investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.057
2046,Infrastructure investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.054
2047,Infrastructure investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.051
2048,Infrastructure investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.048
2049,Infrastructure investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.046
2050,Infrastructure investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.043
2025,Human capital investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.0
2026,Human capital investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.121
2027,Human capital investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.079
2028,Human capital investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.061
2029,Human capital investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.057
2030,Human capital investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.063
2031,Human capital investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.074
2032,Human capital investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.088
2033,Human capital investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.103
2034,Human capital investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.117
2035,Human capital investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.13
2036,Human capital investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.142
2037,Human capital investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.152
2038,Human capital investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.161
2039,Human capital investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.167
2040,Human capital investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.173
2041,Human capital investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.176
2042,Human capital investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.178
2043,Human capital investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.179
2044,Human capital investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.179
2045,Human capital investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.178
2046,Human capital investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.176
2047,Human capital investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.173
2048,Human capital investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.17
2049,Human capital investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.166
2050,Human capital investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.162
2025,R&D investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.0
2026,R&D investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),-0.028
2027,R&D investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),-0.017
2028,R&D investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.037
2029,R&D investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.092
2030,R&D investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.136
2031,R&D investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.167
2032,R&D investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.187
2033,R&D investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.198
2034,R&D investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.202
2035,R&D investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.202
2036,R&D investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.198
2037,R&D investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.192
2038,R&D investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.185
2039,R&D investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.177
2040,R&D investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.168
2041,R&D investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.159
2042,R&D investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.149
2043,R&D investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.141
2044,R&D investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.132
2045,R&D investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.124
2046,R&D investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.116
2047,R&D investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.108
2048,R&D investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.101
2049,R&D investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.094
2050,R&D investment,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.088
2025,Government consumption,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.0
2026,Government consumption,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.031
2027,Government consumption,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.027
2028,Government consumption,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.025
2029,Government consumption,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.024
2030,Government consumption,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.022
2031,Government consumption,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.021
2032,Government consumption,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.02
2033,Government consumption,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.019
2034,Government consumption,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.018
2035,Government consumption,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.017
2036,Government consumption,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.016
2037,Government consumption,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.015
2038,Government consumption,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.015
2039,Government consumption,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.014
2040,Government consumption,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.013
2041,Government consumption,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.013
2042,Government consumption,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.012
2043,Government consumption,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.011
2044,Government consumption,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.011
2045,Government consumption,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.01
2046,Government consumption,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.01
2047,Government consumption,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.009
2048,Government consumption,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.009
2049,Government consumption,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.008
2050,Government consumption,Real interest rate (R<sub>t</sub>/Π<sub>t</sub>),0.008
2025,Infrastructure investment,Primary deficit,0.0
2026,Infrastructure investment,Primary deficit,1.0
2027,Infrastructure investment,Primary deficit,0.935
2028,Infrastructure investment,Primary deficit,0.87
2029,Infrastructure investment,Primary deficit,0.806
2030,Infrastructure investment,Primary deficit,0.744
2031,Infrastructure investment,Primary deficit,0.685
2032,Infrastructure investment,Primary deficit,0.629
2033,Infrastructure investment,Primary deficit,0.575
2034,Infrastructure investment,Primary deficit,0.525
2035,Infrastructure investment,Primary deficit,0.477
2036,Infrastructure investment,Primary deficit,0.432
2037,Infrastructure investment,Primary deficit,0.39
2038,Infrastructure investment,Primary deficit,0.35
2039,Infrastructure investment,Primary deficit,0.313
2040,Infrastructure investment,Primary deficit,0.278
2041,Infrastructure investment,Primary deficit,0.245
2042,Infrastructure investment,Primary deficit,0.215
2043,Infrastructure investment,Primary deficit,0.187
2044,Infrastructure investment,Primary deficit,0.16
2045,Infrastructure investment,Primary deficit,0.136
2046,Infrastructure investment,Primary deficit,0.113
2047,Infrastructure investment,Primary deficit,0.092
2048,Infrastructure investment,Primary deficit,0.072
2049,Infrastructure investment,Primary deficit,0.054
2050,Infrastructure investment,Primary deficit,0.037
2025,Human capital investment,Primary deficit,0.0
2026,Human capital investment,Primary deficit,1.002
2027,Human capital investment,Primary deficit,0.963
2028,Human capital investment,Primary deficit,0.918
2029,Human capital investment,Primary deficit,0.868
2030,Human capital investment,Primary deficit,0.814
2031,Human capital investment,Primary deficit,0.755
2032,Human capital investment,Primary deficit,0.694
2033,Human capital investment,Primary deficit,0.63
2034,Human capital investment,Primary deficit,0.564
2035,Human capital investment,Primary deficit,0.497
2036,Human capital investment,Primary deficit,0.429
2037,Human capital investment,Primary deficit,0.362
2038,Human capital investment,Primary deficit,0.296
2039,Human capital investment,Primary deficit,0.23
2040,Human capital investment,Primary deficit,0.166
2041,Human capital investment,Primary deficit,0.104
2042,Human capital investment,Primary deficit,0.044
2043,Human capital investment,Primary deficit,-0.013
2044,Human capital investment,Primary deficit,-0.068
2045,Human capital investment,Primary deficit,-0.121
2046,Human capital investment,Primary deficit,-0.17
2047,Human capital investment,Primary deficit,-0.217
2048,Human capital investment,Primary deficit,-0.261
2049,Human capital investment,Primary deficit,-0.302
2050,Human capital investment,Primary deficit,-0.34
2025,R&D investment,Primary deficit,0.0
2026,R&D investment,Primary deficit,1.031
2027,R&D investment,Primary deficit,0.968
2028,R&D investment,Primary deficit,0.893
2029,R&D investment,Primary deficit,0.81
2030,R&D investment,Primary deficit,0.725
2031,R&D investment,Primary deficit,0.64
2032,R&D investment,Primary deficit,0.556
2033,R&D investment,Primary deficit,0.476
2034,R&D investment,Primary deficit,0.399
2035,R&D investment,Primary deficit,0.327
2036,R&D investment,Primary deficit,0.259
2037,R&D investment,Primary deficit,0.196
2038,R&D investment,Primary deficit,0.137
2039,R&D investment,Primary deficit,0.084
2040,R&D investment,Primary deficit,0.034
2041,R&D investment,Primary deficit,-0.011
2042,R&D investment,Primary deficit,-0.052
2043,R&D investment,Primary deficit,-0.089
2044,R&D investment,Primary deficit,-0.122
2045,R&D investment,Primary deficit,-0.153
2046,R&D investment,Primary deficit,-0.18
2047,R&D investment,Primary deficit,-0.204
2048,R&D investment,Primary deficit,-0.225
2049,R&D investment,Primary deficit,-0.244
2050,R&D investment,Primary deficit,-0.261
2025,Government consumption,Primary deficit,0.0
2026,Government consumption,Primary deficit,1.082
2027,Government consumption,Primary deficit,1.033
2028,Government consumption,Primary deficit,0.985
2029,Government consumption,Primary deficit,0.94
2030,Government consumption,Primary deficit,0.896
2031,Government consumption,Primary deficit,0.854
2032,Government consumption,Primary deficit,0.814
2033,Government consumption,Primary deficit,0.775
2034,Government consumption,Primary deficit,0.738
2035,Government consumption,Primary deficit,0.703
2036,Government consumption,Primary deficit,0.669
2037,Government consumption,Primary deficit,0.636
2038,Government consumption,Primary deficit,0.605
2039,Government consumption,Primary deficit,0.575
2040,Government consumption,Primary deficit,0.546
2041,Government consumption,Primary deficit,0.518
2042,Government consumption,Primary deficit,0.491
2043,Government consumption,Primary deficit,0.465
2044,Government consumption,Primary deficit,0.441
2045,Government consumption,Primary deficit,0.417
2046,Government consumption,Primary deficit,0.394
2047,Government consumption,Primary deficit,0.373
2048,Government consumption,Primary deficit,0.352
2049,Government consumption,Primary deficit,0.332
2050,Government consumption,Primary deficit,0.312
2025,Infrastructure investment,Transfers (T<sub>t</sub>),0.0
2026,Infrastructure investment,Transfers (T<sub>t</sub>),-0.033
2027,Infrastructure investment,Transfers (T<sub>t</sub>),-0.069
2028,Infrastructure investment,Transfers (T<sub>t</sub>),-0.103
2029,Infrastructure investment,Transfers (T<sub>t</sub>),-0.137
2030,Infrastructure investment,Transfers (T<sub>t</sub>),-0.168
2031,Infrastructure investment,Transfers (T<sub>t</sub>),-0.198
2032,Infrastructure investment,Transfers (T<sub>t</sub>),-0.227
2033,Infrastructure investment,Transfers (T<sub>t</sub>),-0.254
2034,Infrastructure investment,Transfers (T<sub>t</sub>),-0.279
2035,Infrastructure investment,Transfers (T<sub>t</sub>),-0.302
2036,Infrastructure investment,Transfers (T<sub>t</sub>),-0.324
2037,Infrastructure investment,Transfers (T<sub>t</sub>),-0.344
2038,Infrastructure investment,Transfers (T<sub>t</sub>),-0.363
2039,Infrastructure investment,Transfers (T<sub>t</sub>),-0.38
2040,Infrastructure investment,Transfers (T<sub>t</sub>),-0.396
2041,Infrastructure investment,Transfers (T<sub>t</sub>),-0.41
2042,Infrastructure investment,Transfers (T<sub>t</sub>),-0.424
2043,Infrastructure investment,Transfers (T<sub>t</sub>),-0.436
2044,Infrastructure investment,Transfers (T<sub>t</sub>),-0.447
2045,Infrastructure investment,Transfers (T<sub>t</sub>),-0.458
2046,Infrastructure investment,Transfers (T<sub>t</sub>),-0.467
2047,Infrastructure investment,Transfers (T<sub>t</sub>),-0.476
2048,Infrastructure investment,Transfers (T<sub>t</sub>),-0.483
2049,Infrastructure investment,Transfers (T<sub>t</sub>),-0.491
2050,Infrastructure investment,Transfers (T<sub>t</sub>),-0.497
2025,Human capital investment,Transfers (T<sub>t</sub>),0.0
2026,Human capital investment,Transfers (T<sub>t</sub>),-0.021
2027,Human capital investment,Transfers (T<sub>t</sub>),-0.072
2028,Human capital investment,Transfers (T<sub>t</sub>),-0.118
2029,Human capital investment,Transfers (T<sub>t</sub>),-0.159
2030,Human capital investment,Transfers (T<sub>t</sub>),-0.196
2031,Human capital investment,Transfers (T<sub>t</sub>),-0.231
2032,Human capital investment,Transfers (T<sub>t</sub>),-0.263
2033,Human capital investment,Transfers (T<sub>t</sub>),-0.292
