horizon_quarter,experiment,variable,pct_dev
44,AE: Infrastructure investment,Consumption (C<sub>t</sub>),3.007
45,AE: Infrastructure investment,Consumption (C<sub>t</sub>),3.069
46,AE: Infrastructure investment,Consumption (C<sub>t</sub>),3.13
47,AE: Infrastructure investment,Consumption (C<sub>t</sub>),3.192
48,AE: Infrastructure investment,Consumption (C<sub>t</sub>),3.254
49,AE: Infrastructure investment,Consumption (C<sub>t</sub>),3.316
50,AE: Infrastructure investment,Consumption (C<sub>t</sub>),3.379
51,AE: Infrastructure investment,Consumption (C<sub>t</sub>),3.442
52,AE: Infrastructure investment,Consumption (C<sub>t</sub>),3.505
53,AE: Infrastructure investment,Consumption (C<sub>t</sub>),3.568
54,AE: Infrastructure investment,Consumption (C<sub>t</sub>),3.631
55,AE: Infrastructure investment,Consumption (C<sub>t</sub>),3.695
56,AE: Infrastructure investment,Consumption (C<sub>t</sub>),3.759
57,AE: Infrastructure investment,Consumption (C<sub>t</sub>),3.823
58,AE: Infrastructure investment,Consumption (C<sub>t</sub>),3.887
59,AE: Infrastructure investment,Consumption (C<sub>t</sub>),3.951
60,AE: Infrastructure investment,Consumption (C<sub>t</sub>),4.015
