year,duration,variable,pct_dev
2032.25,ρ = 0.5,Output (Y<sup>d</sup><sub>t</sub>),-0.0
2032.5,ρ = 0.5,Output (Y<sup>d</sup><sub>t</sub>),-0.0
2032.75,ρ = 0.5,Output (Y<sup>d</sup><sub>t</sub>),-0.0
2033.0,ρ = 0.5,Output (Y<sup>d</sup><sub>t</sub>),-0.0
2033.25,ρ = 0.5,Output (Y<sup>d</sup><sub>t</sub>),-0.0
2033.5,ρ = 0.5,Output (Y<sup>d</sup><sub>t</sub>),-0.0
2033.75,ρ = 0.5,Output (Y<sup>d</sup><sub>t</sub>),-0.0
2034.0,ρ = 0.5,Output (Y<sup>d</sup><sub>t</sub>),-0.0
2034.25,ρ = 0.5,Output (Y<sup>d</sup><sub>t</sub>),-0.0
2034.5,ρ = 0.5,Output (Y<sup>d</sup><sub>t</sub>),-0.0
2034.75,ρ = 0.5,Output (Y<sup>d</sup><sub>t</sub>),-0.0
2035.0,ρ = 0.5,Output (Y<sup>d</sup><sub>t</sub>),-0.0
2035.25,ρ = 0.5,Output (Y<sup>d</sup><sub>t</sub>),-0.0
2035.5,ρ = 0.5,Output (Y<sup>d</sup><sub>t</sub>),-0.0
2035.75,ρ = 0.5,Output (Y<sup>d</sup><sub>t</sub>),-0.0
2036.0,ρ = 0.5,Output (Y<sup>d</sup><sub>t</sub>),-0.0
2036.25,ρ = 0.5,Output (Y<sup>d</sup><sub>t</sub>),-0.0
2036.5,ρ = 0.5,Output (Y<sup>d</sup><sub>t</sub>),-0.0
2036.75,ρ = 0.5,Output (Y<sup>d</sup><sub>t</sub>),-0.0
2037.0,ρ = 0.5,Output (Y<sup>d</sup><sub>t</sub>),-0.0
2025.0,ρ = 0.9,Output (Y<sup>d</sup><sub>t</sub>),0.0
2025.25,ρ = 0.9,Output (Y<sup>d</sup><sub>t</sub>),0.448
2025.5,ρ = 0.9,Output (Y<sup>d</sup><sub>t</sub>),0.402
2025.75,ρ = 0.9,Output (Y<sup>d</sup><sub>t</sub>),0.361
2026.0,ρ = 0.9,Output (Y<sup>d</sup><sub>t</sub>),0.324
2026.25,ρ = 0.9,Output (Y<sup>d</sup><sub>t</sub>),0.291
2026.5,ρ = 0.9,Output (Y<sup>d</sup><sub>t</sub>),0.262
2026.75,ρ = 0.9,Output (Y<sup>d</sup><sub>t</sub>),0.236
2027.0,ρ = 0.9,Output (Y<sup>d</sup><sub>t</sub>),0.212
2027.25,ρ = 0.9,Output (Y<sup>d</sup><sub>t</sub>),0.191
2027.5,ρ = 0.9,Output (Y<sup>d</sup><sub>t</sub>),0.172
2027.75,ρ = 0.9,Output (Y<sup>d</sup><sub>t</sub>),0.155
2028.0,ρ = 0.9,Output (Y<sup>d</sup><sub>t</sub>),0.139
2028.25,ρ = 0.9,Output (Y<sup>d</sup><sub>t</sub>),0.125
2028.5,ρ = 0.9,Output (Y<sup>d</sup><sub>t</sub>),0.113
2028.75,ρ = 0.9,Output (Y<sup>d</sup><sub>t</sub>),0.101
2029.0,ρ = 0.9,Output (Y<sup>d</sup><sub>t</sub>),0.091
2029.25,ρ = 0.9,Output (Y<sup>d</sup><sub>t</sub>),0.082
2029.5,ρ = 0.9,Output (Y<sup>d</sup><sub>t</sub>),0.074
2029.75,ρ = 0.9,Output (Y<sup>d</sup><sub>t</sub>),0.066
2030.0,ρ = 0.9,Output (Y<sup>d</sup><sub>t</sub>),0.06
2030.25,ρ = 0.9,Output (Y<sup>d</sup><sub>t</sub>),0.054
2030.5,ρ = 0.9,Output (Y<sup>d</sup><sub>t</sub>),0.048
2030.75,ρ = 0.9,Output (Y<sup>d</sup><sub>t</sub>),0.044
2031.0,ρ = 0.9,Output (Y<sup>d</sup><sub>t</sub>),0.039
2031.25,ρ = 0.9,Output (Y<sup>d</sup><sub>t</sub>),0.035
2031.5,ρ = 0.9,Output (Y<sup>d</sup><sub>t</sub>),0.032
2031.75,ρ = 0.9,Output (Y<sup>d</sup><sub>t</sub>),0.029
