experiment,instrument,param,param_value,is_baseline,yd_y0,yd_y1,yd_y2,yd_y3,yd_y4,yd_y5,yd_y6,yd_y7,yd_y8,yd_y9,yd_y10,yd_y11,yd_y12,yd_y13,yd_y14,yd_y15,yd_y16,yd_y17,yd_y18,yd_y19,yd_y20,yd_y21,yd_y22,yd_y23,yd_y24,yd_y25,yd_y26,yd_y27,yd_y28,yd_y29,yd_y30,yd_y31,yd_y32,yd_y33,yd_y34,yd_y35,yd_y36,yd_y37,yd_y38,yd_y39,yd_y40,yd_y41,yd_y42,yd_y43,yd_y44,yd_y45,yd_y46,yd_y47,yd_y48,yd_y49,yd_y50
Model_HumanCapital_exp_gc_perm,Gc,mu,0.2,0,0.000000,0.312617,0.252200,0.274261,0.295153,0.315187,0.334425,0.352894,0.370614,0.387600,0.403868,0.419435,0.434319,0.448541,0.462120,0.475077,0.487434,0.499213,0.510435,0.521123,0.531297,0.540979,0.550190,0.558949,0.567277,0.575193,0.582716,0.589863,0.596653,0.603101,0.609225,0.615039,0.620558,0.625798,0.630770,0.635489,0.639967,0.644216,0.648248,0.652072,0.655700,0.659142,0.662406,0.665503,0.668439,0.671224,0.673865,0.676370,0.678745,0.680997,0.683133
Model_HumanCapital_exp_gc_perm,Gc,mu,0.25,0,0.000000,0.312617,0.252200,0.274261,0.295153,0.315187,0.334425,0.352894,0.370614,0.387600,0.403868,0.419435,0.434319,0.448541,0.462120,0.475077,0.487434,0.499213,0.510435,0.521123,0.531297,0.540979,0.550190,0.558949,0.567277,0.575193,0.582716,0.589863,0.596653,0.603101,0.609225,0.615039,0.620558,0.625798,0.630770,0.635489,0.639967,0.644216,0.648248,0.652072,0.655700,0.659142,0.662406,0.665503,0.668439,0.671224,0.673865,0.676370,0.678745,0.680997,0.683133
Model_HumanCapital_exp_gc_perm,Gc,mu,0.3,0,0.000000,0.312617,0.252200,0.274261,0.295153,0.315187,0.334425,0.352894,0.370614,0.387600,0.403868,0.419435,0.434319,0.448541,0.462120,0.475077,0.487434,0.499213,0.510435,0.521123,0.531297,0.540979,0.550190,0.558949,0.567277,0.575193,0.582716,0.589863,0.596653,0.603101,0.609225,0.615039,0.620558,0.625798,0.630770,0.635489,0.639967,0.644216,0.648248,0.652072,0.655700,0.659142,0.662406,0.665503,0.668439,0.671224,0.673865,0.676370,0.678745,0.680997,0.683133
Model_HumanCapital_exp_gc_perm,Gc,alphaRD,0.0238095,0,0.000000,0.312617,0.252200,0.274261,0.295153,0.315187,0.334425,0.352894,0.370614,0.387600,0.403868,0.419435,0.434319,0.448541,0.462120,0.475077,0.487434,0.499213,0.510435,0.521123,0.531297,0.540979,0.550190,0.558949,0.567277,0.575193,0.582716,0.589863,0.596653,0.603101,0.609225,0.615039,0.620558,0.625798,0.630770,0.635489,0.639967,0.644216,0.648248,0.652072,0.655700,0.659142,0.662406,0.665503,0.668439,0.671224,0.673865,0.676370,0.678745,0.680997,0.683133
Model_HumanCapital_exp_gc_perm,Gc,alphaRD,0.09,0,0.000000,0.312617,0.252200,0.274261,0.295153,0.315187,0.334425,0.352894,0.370614,0.387600,0.403868,0.419435,0.434319,0.448541,0.462120,0.475077,0.487434,0.499213,0.510435,0.521123,0.531297,0.540979,0.550190,0.558949,0.567277,0.575193,0.582716,0.589863,0.596653,0.603101,0.609225,0.615039,0.620558,0.625798,0.630770,0.635489,0.639967,0.644216,0.648248,0.652072,0.655700,0.659142,0.662406,0.665503,0.668439,0.671224,0.673865,0.676370,0.678745,0.680997,0.683133
Model_HumanCapital_exp_gc_perm,Gc,alphaRD,0.190476,0,0.000000,0.312617,0.252200,0.274261,0.295153,0.315187,0.334425,0.352894,0.370614,0.387600,0.403868,0.419435,0.434319,0.448541,0.462120,0.475077,0.487434,0.499213,0.510435,0.521123,0.531297,0.540979,0.550190,0.558949,0.567277,0.575193,0.582716,0.589863,0.596653,0.603101,0.609225,0.615039,0.620558,0.625798,0.630770,0.635489,0.639967,0.644216,0.648248,0.652072,0.655700,0.659142,0.662406,0.665503,0.668439,0.671224,0.673865,0.676370,0.678745,0.680997,0.683133
Model_HumanCapital_exp_gc_perm,Gc,alphaRD,0.333333,0,0.000000,0.312617,0.252200,0.274261,0.295153,0.315187,0.334425,0.352894,0.370614,0.387600,0.403868,0.419435,0.434319,0.448541,0.462120,0.475077,0.487434,0.499213,0.510435,0.521123,0.531297,0.540979,0.550190,0.558949,0.567277,0.575193,0.582716,0.589863,0.596653,0.603101,0.609225,0.615039,0.620558,0.625798,0.630770,0.635489,0.639967,0.644216,0.648248,0.652072,0.655700,0.659142,0.662406,0.665503,0.668439,0.671224,0.673865,0.676370,0.678745,0.680997,0.683133
Model_HumanCapital_exp_gc_perm,Gc,alphaRD,0.47619,0,0.000000,0.312617,0.252200,0.274261,0.295153,0.315187,0.334425,0.352894,0.370614,0.387600,0.403868,0.419435,0.434319,0.448541,0.462120,0.475077,0.487434,0.499213,0.510435,0.521123,0.531297,0.540979,0.550190,0.558949,0.567277,0.575193,0.582716,0.589863,0.596653,0.603101,0.609225,0.615039,0.620558,0.625798,0.630770,0.635489,0.639967,0.644216,0.648248,0.652072,0.655700,0.659142,0.662406,0.665503,0.668439,0.671224,0.673865,0.676370,0.678745,0.680997,0.683133
Model_HumanCapital_exp_gc_perm,Gc,varsigma,0.1,0,0.000000,0.271122,0.220944,0.239350,0.256619,0.272942,0.288290,0.302634,0.315964,0.328290,0.339643,0.350064,0.359604,0.368317,0.376260,0.383491,0.390065,0.396035,0.401454,0.406367,0.410820,0.414855,0.418508,0.421815,0.424809,0.427517,0.429968,0.432184,0.434189,0.436003,0.437642,0.439125,0.440466,0.441679,0.442775,0.443767,0.444663,0.445473,0.446206,0.446869,0.447468,0.448009,0.448499,0.448942,0.449342,0.449704,0.450031,0.450327,0.450594,0.450836,0.451055
Model_HumanCapital_exp_gc_perm,Gc,varsigma,0.3,0,0.000000,0.277673,0.226466,0.246262,0.264781,0.282255,0.298681,0.314048,0.328357,0.341625,0.353885,0.365180,0.375559,0.385077,0.393791,0.401756,0.409028,0.415661,0.421705,0.427208,0.432216,0.436772,0.440913,0.444676,0.448096,0.451201,0.454021,0.456581,0.458905,0.461015,0.462929,0.464666,0.466242,0.467672,0.468969,0.470146,0.471213,0.472181,0.473060,0.473857,0.474579,0.475235,0.475829,0.476369,0.476858,0.477301,0.477704,0.478069,0.478400,0.478700,0.478972
Model_HumanCapital_exp_gc_perm,Gc,varsigma,0.5,0,0.000000,0.287096,0.233829,0.254943,0.274723,0.293429,0.311078,0.327671,0.343211,0.357716,0.371215,0.383745,0.395349,0.406076,0.415975,0.425098,0.433494,0.441214,0.448306,0.454815,0.460785,0.466257,0.471270,0.475861,0.480064,0.483909,0.487426,0.490642,0.493583,0.496271,0.498727,0.500971,0.503022,0.504895,0.506606,0.508168,0.509595,0.510898,0.512087,0.513173,0.514165,0.515070,0.515896,0.516650,0.517339,0.517967,0.518541,0.519064,0.519542,0.519978,0.520377
Model_HumanCapital_exp_gc_perm,Gc,varsigma,0.8,0,0.000000,0.312617,0.252200,0.274261,0.295153,0.315187,0.334425,0.352894,0.370614,0.387600,0.403868,0.419435,0.434319,0.448541,0.462120,0.475077,0.487434,0.499213,0.510435,0.521123,0.531297,0.540979,0.550190,0.558949,0.567277,0.575193,0.582716,0.589863,0.596653,0.603101,0.609225,0.615039,0.620558,0.625798,0.630770,0.635489,0.639967,0.644216,0.648248,0.652072,0.655700,0.659142,0.662406,0.665503,0.668439,0.671224,0.673865,0.676370,0.678745,0.680997,0.683133
Model_HumanCapital_exp_gc_perm,Gc,varsigma,0.9,0,0.000000,0.327724,0.262968,0.284541,0.304976,0.324627,0.343602,0.361973,0.379797,0.397118,0.413972,0.430393,0.446406,0.462035,0.477302,0.492224,0.506818,0.521099,0.535079,0.548770,0.562182,0.575326,0.588210,0.600842,0.613230,0.625380,0.637299,0.648993,0.660467,0.671726,0.682776,0.693621,0.704266,0.714715,0.724972,0.735041,0.744925,0.754628,0.764154,0.773506,0.782687,0.791701,0.800550,0.809237,0.817766,0.826139,0.834359,0.842429,0.850352,0.858129,0.865764
Model_HumanCapital_exp_gc_perm,Gc,varsigma,0.95,0,0.000000,0.337782,0.270295,0.291431,0.311389,0.330539,0.349019,0.366934,0.384369,0.401397,0.418076,0.434460,0.450593,0.466513,0.482254,0.497846,0.513314,0.528680,0.543964,0.559183,0.574351,0.589483,0.604589,0.619680,0.634764,0.649849,0.664943,0.680051,0.695178,0.710329,0.725508,0.740719,0.755964,0.771247,0.786570,0.801934,0.817342,0.832795,0.848294,0.863841,0.879436,0.895081,0.910776,0.926522,0.942319,0.958167,0.974068,0.990020,1.006025,1.022082,1.038191
