shock,scenario,gain_low_initial_gap,gain_high_initial_gap
Infrastructure investment,by 2050,7.306,8.566
Infrastructure investment,by 2040,9.511,11.091
Human capital investment,by 2050,2.287,2.656
Human capital investment,by 2040,3.74,4.312
