variable,series,year,p25,p50,p75
tran_port_traffic_pc,Jamaica,2014,,0.5863,
tran_port_traffic_pc,Jamaica,2015,,0.5899,
tran_port_traffic_pc,Jamaica,2016,,0.5578,
tran_port_traffic_pc,Jamaica,2017,,0.554,
tran_port_traffic_pc,Jamaica,2018,,0.65,
tran_port_traffic_pc,Jamaica,2019,,0.5836,
tran_port_traffic_pc,Jamaica,2020,,0.5762,
tran_port_traffic_pc,Jamaica,2021,,0.6961,
tran_port_traffic_pc,Jamaica,2022,,0.7529,
comm_phone_wdi_int,Advanced economies,1990,28.0,42.0,49.3
comm_phone_wdi_int,Advanced economies,1991,29.7,42.9,50.8
comm_phone_wdi_int,Advanced economies,1992,31.3,43.8,52.6
comm_phone_wdi_int,Advanced economies,1993,32.7,45.4,54.1
comm_phone_wdi_int,Advanced economies,1994,34.7,47.4,55.0
comm_phone_wdi_int,Advanced economies,1995,36.3,49.1,55.6
comm_phone_wdi_int,Advanced economies,1996,38.2,50.1,56.4
comm_phone_wdi_int,Advanced economies,1997,39.6,50.5,57.5
comm_phone_wdi_int,Advanced economies,1998,40.5,50.2,59.0
comm_phone_wdi_int,Advanced economies,1999,41.4,51.6,59.0
comm_phone_wdi_int,Advanced economies,2000,42.0,52.5,61.4
comm_phone_wdi_int,Advanced economies,2001,42.5,50.4,58.3
comm_phone_wdi_int,Advanced economies,2002,42.4,50.3,58.3
comm_phone_wdi_int,Advanced economies,2003,43.5,49.0,57.8
comm_phone_wdi_int,Advanced economies,2004,43.8,47.9,57.5
comm_phone_wdi_int,Advanced economies,2005,42.8,46.2,56.2
comm_phone_wdi_int,Advanced economies,2006,42.4,45.8,55.4
comm_phone_wdi_int,Advanced economies,2007,40.0,45.6,52.5
comm_phone_wdi_int,Advanced economies,2008,39.4,44.5,53.4
comm_phone_wdi_int,Advanced economies,2009,39.0,46.1,53.6
comm_phone_wdi_int,Advanced economies,2010,40.6,45.6,53.0
comm_phone_wdi_int,Advanced economies,2011,40.4,44.5,51.7
comm_phone_wdi_int,Advanced economies,2012,40.1,43.1,50.2
comm_phone_wdi_int,Advanced economies,2013,37.3,41.5,49.2
comm_phone_wdi_int,Advanced economies,2014,33.9,40.8,48.7
comm_phone_wdi_int,Advanced economies,2015,33.4,40.1,48.6
comm_phone_wdi_int,Advanced economies,2016,31.3,38.6,46.3
comm_phone_wdi_int,Advanced economies,2017,27.5,37.6,42.6
comm_phone_wdi_int,Advanced economies,2018,21.9,35.4,42.2
comm_phone_wdi_int,Advanced economies,2019,19.4,33.9,41.9
comm_phone_wdi_int,Advanced economies,2020,16.6,32.9,42.4
comm_phone_wdi_int,Advanced economies,2021,17.8,31.7,41.6
comm_phone_wdi_int,Advanced economies,2022,14.8,29.4,39.8
comm_phone_wdi_int,Advanced economies,2023,15.1,27.7,38.65
comm_phone_wdi_int,Emerging markets,1990,2.4225,6.08,11.675
comm_phone_wdi_int,Emerging markets,1991,2.495,6.395,12.275
comm_phone_wdi_int,Emerging markets,1992,2.985,7.03,13.35
comm_phone_wdi_int,Emerging markets,1993,3.4,8.27,14.55
comm_phone_wdi_int,Emerging markets,1994,3.945,7.7,15.0
comm_phone_wdi_int,Emerging markets,1995,4.37,8.2,16.25
comm_phone_wdi_int,Emerging markets,1996,4.695,9.2,17.3
comm_phone_wdi_int,Emerging markets,1997,5.425,9.84,18.75
comm_phone_wdi_int,Emerging markets,1998,6.075,10.4,19.9
comm_phone_wdi_int,Emerging markets,1999,6.5,10.7,20.8
comm_phone_wdi_int,Emerging markets,2000,6.69,11.8,21.9
comm_phone_wdi_int,Emerging markets,2001,6.55,12.5,22.9
comm_phone_wdi_int,Emerging markets,2002,6.9925,13.2,23.525
comm_phone_wdi_int,Emerging markets,2003,7.505,13.85,23.15
comm_phone_wdi_int,Emerging markets,2004,8.84,14.8,23.9
comm_phone_wdi_int,Emerging markets,2005,9.305,14.5,24.05
comm_phone_wdi_int,Emerging markets,2006,9.344,15.5,23.75
comm_phone_wdi_int,Emerging markets,2007,9.625,15.9,23.7
comm_phone_wdi_int,Emerging markets,2008,9.945,16.7,24.1
comm_phone_wdi_int,Emerging markets,2009,9.675,16.7,23.1
comm_phone_wdi_int,Emerging markets,2010,9.345,16.5,22.05
comm_phone_wdi_int,Emerging markets,2011,9.0,16.4,22.65
comm_phone_wdi_int,Emerging markets,2012,8.875,15.5,22.45
comm_phone_wdi_int,Emerging markets,2013,8.145,15.1,22.7
comm_phone_wdi_int,Emerging markets,2014,7.87,15.1,22.5
comm_phone_wdi_int,Emerging markets,2015,7.61,15.4,21.6
comm_phone_wdi_int,Emerging markets,2016,7.025,15.1,20.7
comm_phone_wdi_int,Emerging markets,2017,7.965,14.9,19.4
comm_phone_wdi_int,Emerging markets,2018,6.195,14.4,18.675
comm_phone_wdi_int,Emerging markets,2019,6.2462,13.5,17.8
comm_phone_wdi_int,Emerging markets,2020,6.4208,13.3,18.1
comm_phone_wdi_int,Emerging markets,2021,5.705,12.9,18.7
comm_phone_wdi_int,Emerging markets,2022,4.9875,12.35,17.175
comm_phone_wdi_int,Emerging markets,2023,5.93,11.8,17.9
comm_phone_wdi_int,Low-income,1990,0.2035,0.301,0.7495
comm_phone_wdi_int,Low-income,1991,0.204,0.318,0.8225
comm_phone_wdi_int,Low-income,1992,0.2195,0.333,0.8338
comm_phone_wdi_int,Low-income,1993,0.2242,0.348,0.849
comm_phone_wdi_int,Low-income,1994,0.2478,0.38,0.8845
comm_phone_wdi_int,Low-income,1995,0.26,0.399,0.9345
comm_phone_wdi_int,Low-income,1996,0.2522,0.466,1.011
comm_phone_wdi_int,Low-income,1997,0.282,0.5435,1.0975
comm_phone_wdi_int,Low-income,1998,0.3007,0.6295,1.15
comm_phone_wdi_int,Low-income,1999,0.3107,0.654,1.2475
comm_phone_wdi_int,Low-income,2000,0.3428,0.7395,1.415
comm_phone_wdi_int,Low-income,2001,0.4117,0.813,1.6125
comm_phone_wdi_int,Low-income,2002,0.4442,0.8455,1.765
comm_phone_wdi_int,Low-income,2003,0.396,0.841,1.77
comm_phone_wdi_int,Low-income,2004,0.388,0.892,1.89
comm_phone_wdi_int,Low-income,2005,0.43,0.905,1.84
comm_phone_wdi_int,Low-income,2006,0.377,0.985,2.3
comm_phone_wdi_int,Low-income,2007,0.394,1.06,2.29
comm_phone_wdi_int,Low-income,2008,0.421,1.05,2.21
comm_phone_wdi_int,Low-income,2009,0.49,1.07,2.28
comm_phone_wdi_int,Low-income,2010,0.438,1.01,2.65
comm_phone_wdi_int,Low-income,2011,0.3848,1.075,2.9775
comm_phone_wdi_int,Low-income,2012,0.3815,0.9835,3.395
comm_phone_wdi_int,Low-income,2013,0.3268,0.8175,2.95
comm_phone_wdi_int,Low-income,2014,0.3303,0.874,2.38
comm_phone_wdi_int,Low-income,2015,0.2502,0.8665,2.1125
comm_phone_wdi_int,Low-income,2016,0.2372,0.8175,2.065
comm_phone_wdi_int,Low-income,2017,0.2285,0.5575,2.2275
comm_phone_wdi_int,Low-income,2018,0.179,0.47,2.0275
comm_phone_wdi_int,Low-income,2019,0.1425,0.5185,1.875
comm_phone_wdi_int,Low-income,2020,0.1322,0.4475,1.3575
comm_phone_wdi_int,Low-income,2021,0.1142,0.367,1.475
comm_phone_wdi_int,Low-income,2022,0.113,0.3615,1.5925
comm_phone_wdi_int,Low-income,2023,0.1072,0.4155,1.93
comm_phone_wdi_int,Jamaica,1990,,4.42,
comm_phone_wdi_int,Jamaica,1991,,5.48,
comm_phone_wdi_int,Jamaica,1992,,6.9,
comm_phone_wdi_int,Jamaica,1993,,8.51,
comm_phone_wdi_int,Jamaica,1994,,10.1,
comm_phone_wdi_int,Jamaica,1995,,11.6,
comm_phone_wdi_int,Jamaica,1996,,14.2,
comm_phone_wdi_int,Jamaica,1997,,16.3,
comm_phone_wdi_int,Jamaica,1998,,18.0,
comm_phone_wdi_int,Jamaica,1999,,18.8,
comm_phone_wdi_int,Jamaica,2000,,18.9,
comm_phone_wdi_int,Jamaica,2001,,19.5,
comm_phone_wdi_int,Jamaica,2002,,16.5,
comm_phone_wdi_int,Jamaica,2003,,17.3,
comm_phone_wdi_int,Jamaica,2004,,15.8,
comm_phone_wdi_int,Jamaica,2005,,11.9,
comm_phone_wdi_int,Jamaica,2006,,12.7,
comm_phone_wdi_int,Jamaica,2007,,13.6,
comm_phone_wdi_int,Jamaica,2008,,11.6,
comm_phone_wdi_int,Jamaica,2009,,11.1,
comm_phone_wdi_int,Jamaica,2010,,9.57,
comm_phone_wdi_int,Jamaica,2011,,9.78,
comm_phone_wdi_int,Jamaica,2012,,9.13,
comm_phone_wdi_int,Jamaica,2013,,8.99,
comm_phone_wdi_int,Jamaica,2014,,9.11,
comm_phone_wdi_int,Jamaica,2015,,9.02,
comm_phone_wdi_int,Jamaica,2016,,11.0,
comm_phone_wdi_int,Jamaica,2017,,10.5,
comm_phone_wdi_int,Jamaica,2018,,12.9,
comm_phone_wdi_int,Jamaica,2019,,14.1,
comm_phone_wdi_int,Jamaica,2020,,15.4,
comm_phone_wdi_int,Jamaica,2021,,16.7,
comm_phone_wdi_int,Jamaica,2022,,15.7,
comm_phone_wdi_int,Jamaica,2023,,16.2,
comm_cell_wdi_int,Advanced economies,1990,0.065,0.502,1.8631
comm_cell_wdi_int,Advanced economies,1991,0.1262,0.7643,2.1967
comm_cell_wdi_int,Advanced economies,1992,0.2861,1.2118,2.8461
comm_cell_wdi_int,Advanced economies,1993,0.6526,1.7081,3.9343
comm_cell_wdi_int,Advanced economies,1994,1.2719,3.0792,6.6061
comm_cell_wdi_int,Advanced economies,1995,2.3304,4.826,9.9012
comm_cell_wdi_int,Advanced economies,1996,4.8443,8.0017,16.3738
comm_cell_wdi_int,Advanced economies,1997,10.0577,14.7365,20.6197
comm_cell_wdi_int,Advanced economies,1998,17.0661,23.8958,30.8093
comm_cell_wdi_int,Advanced economies,1999,28.748,37.0076,48.7227
comm_cell_wdi_int,Advanced economies,2000,39.9733,58.9286,69.5372
comm_cell_wdi_int,Advanced economies,2001,57.4839,73.0073,78.0646
comm_cell_wdi_int,Advanced economies,2002,63.6299,78.407,83.7145
comm_cell_wdi_int,Advanced economies,2003,68.6553,82.9377,90.6985
comm_cell_wdi_int,Advanced economies,2004,79.5226,90.1034,97.7795
comm_cell_wdi_int,Advanced economies,2005,85.3687,96.6169,105.296
comm_cell_wdi_int,Advanced economies,2006,93.3538,104.472,114.499
comm_cell_wdi_int,Advanced economies,2007,101.06,112.852,119.989
comm_cell_wdi_int,Advanced economies,2008,105.552,112.531,127.587
comm_cell_wdi_int,Advanced economies,2009,103.766,111.524,123.727
comm_cell_wdi_int,Advanced economies,2010,107.204,114.357,123.236
comm_cell_wdi_int,Advanced economies,2011,107.817,115.596,126.56
comm_cell_wdi_int,Advanced economies,2012,109.747,116.564,129.305
comm_cell_wdi_int,Advanced economies,2013,109.997,114.749,128.161
comm_cell_wdi_int,Advanced economies,2014,111.69,117.781,131.145
comm_cell_wdi_int,Advanced economies,2015,112.964,121.212,130.982
comm_cell_wdi_int,Advanced economies,2016,110.749,121.42,130.933
comm_cell_wdi_int,Advanced economies,2017,112.03,123.415,132.003
comm_cell_wdi_int,Advanced economies,2018,110.033,121.162,128.946
comm_cell_wdi_int,Advanced economies,2019,110.494,120.776,132.181
comm_cell_wdi_int,Advanced economies,2020,110.387,121.423,131.341
comm_cell_wdi_int,Advanced economies,2021,113.953,123.212,133.357
comm_cell_wdi_int,Advanced economies,2022,115.203,123.4,136.029
comm_cell_wdi_int,Advanced economies,2023,117.2922,126.43,138.7412
comm_cell_wdi_int,Emerging markets,1990,0.0,0.0,0.0087
comm_cell_wdi_int,Emerging markets,1991,0.0,0.0,0.0652
comm_cell_wdi_int,Emerging markets,1992,0.0,0.0082,0.0981
comm_cell_wdi_int,Emerging markets,1993,0.0,0.0279,0.1813
comm_cell_wdi_int,Emerging markets,1994,0.0,0.0869,0.3436
comm_cell_wdi_int,Emerging markets,1995,0.0154,0.2344,0.7485
comm_cell_wdi_int,Emerging markets,1996,0.06,0.4645,1.3446
comm_cell_wdi_int,Emerging markets,1997,0.1947,0.8052,2.4694
comm_cell_wdi_int,Emerging markets,1998,0.409,1.3277,4.3299
comm_cell_wdi_int,Emerging markets,1999,0.7918,2.9131,7.9694
comm_cell_wdi_int,Emerging markets,2000,1.687,5.7734,12.9116
comm_cell_wdi_int,Emerging markets,2001,3.843,10.6404,17.8996
comm_cell_wdi_int,Emerging markets,2002,6.5242,14.6073,23.9898
comm_cell_wdi_int,Emerging markets,2003,11.1074,21.7045,34.8914
comm_cell_wdi_int,Emerging markets,2004,15.0824,30.4845,47.605
comm_cell_wdi_int,Emerging markets,2005,23.0284,41.2614,63.4056
comm_cell_wdi_int,Emerging markets,2006,32.0848,58.724,75.7178
comm_cell_wdi_int,Emerging markets,2007,45.6837,71.5609,92.6298
comm_cell_wdi_int,Emerging markets,2008,54.7542,80.532,106.75
comm_cell_wdi_int,Emerging markets,2009,67.7064,89.7687,118.3245
comm_cell_wdi_int,Emerging markets,2010,77.773,99.489,124.21
comm_cell_wdi_int,Emerging markets,2011,85.0941,109.334,131.096
comm_cell_wdi_int,Emerging markets,2012,90.7999,115.206,137.432
comm_cell_wdi_int,Emerging markets,2013,97.0569,117.194,141.8265
comm_cell_wdi_int,Emerging markets,2014,97.0288,115.701,142.4975
comm_cell_wdi_int,Emerging markets,2015,93.4682,118.599,142.3805
comm_cell_wdi_int,Emerging markets,2016,96.1407,117.671,138.785
comm_cell_wdi_int,Emerging markets,2017,95.7252,119.374,134.14
comm_cell_wdi_int,Emerging markets,2018,94.3558,118.876,134.3408
comm_cell_wdi_int,Emerging markets,2019,91.9714,122.048,135.574
comm_cell_wdi_int,Emerging markets,2020,96.1599,119.412,134.2985
comm_cell_wdi_int,Emerging markets,2021,95.234,121.492,137.6975
comm_cell_wdi_int,Emerging markets,2022,99.4888,121.317,141.3598
comm_cell_wdi_int,Emerging markets,2023,108.6558,128.323,147.5635
comm_cell_wdi_int,Low-income,1990,0.0,0.0,0.0
comm_cell_wdi_int,Low-income,1991,0.0,0.0,0.0
comm_cell_wdi_int,Low-income,1992,0.0,0.0,0.0
comm_cell_wdi_int,Low-income,1993,0.0,0.0,0.0004
comm_cell_wdi_int,Low-income,1994,0.0,0.0,0.0045
comm_cell_wdi_int,Low-income,1995,0.0,0.0,0.012
comm_cell_wdi_int,Low-income,1996,0.0,0.0117,0.0355
comm_cell_wdi_int,Low-income,1997,0.0,0.0213,0.0672
comm_cell_wdi_int,Low-income,1998,0.0068,0.0397,0.1241
comm_cell_wdi_int,Low-income,1999,0.0129,0.0793,0.2607
comm_cell_wdi_int,Low-income,2000,0.0417,0.2699,0.6926
comm_cell_wdi_int,Low-income,2001,0.2052,0.5731,1.6788
comm_cell_wdi_int,Low-income,2002,0.466,1.0465,2.3358
comm_cell_wdi_int,Low-income,2003,0.9087,2.1866,3.653
comm_cell_wdi_int,Low-income,2004,1.7945,3.5317,6.4848
comm_cell_wdi_int,Low-income,2005,2.7317,5.6282,10.3244
comm_cell_wdi_int,Low-income,2006,5.2371,11.2537,17.8682
comm_cell_wdi_int,Low-income,2007,10.0667,18.6632,25.1303
comm_cell_wdi_int,Low-income,2008,14.5781,28.0124,39.2846
comm_cell_wdi_int,Low-income,2009,19.1808,33.3849,48.8392
comm_cell_wdi_int,Low-income,2010,26.7823,41.1175,59.1442
comm_cell_wdi_int,Low-income,2011,33.2766,49.8848,71.4623
comm_cell_wdi_int,Low-income,2012,36.4875,59.2063,76.8296
comm_cell_wdi_int,Low-income,2013,49.6059,64.2059,80.106
comm_cell_wdi_int,Low-income,2014,56.001,69.0387,85.224
comm_cell_wdi_int,Low-income,2015,54.1062,76.5933,92.2368
comm_cell_wdi_int,Low-income,2016,55.5472,74.6243,97.0213
comm_cell_wdi_int,Low-income,2017,51.8122,75.7981,96.1913
comm_cell_wdi_int,Low-income,2018,49.9895,76.0691,98.8453
comm_cell_wdi_int,Low-income,2019,52.9334,79.1314,101.045
comm_cell_wdi_int,Low-income,2020,55.6179,84.6221,103.7258
comm_cell_wdi_int,Low-income,2021,59.5951,85.637,108.5155
comm_cell_wdi_int,Low-income,2022,62.3938,91.4217,108.7032
comm_cell_wdi_int,Low-income,2023,64.7588,94.8715,109.856
comm_cell_wdi_int,Jamaica,1990,,0.0,
comm_cell_wdi_int,Jamaica,1991,,0.1015,
comm_cell_wdi_int,Jamaica,1992,,0.3133,
comm_cell_wdi_int,Jamaica,1993,,0.619,
comm_cell_wdi_int,Jamaica,1994,,1.0509,
comm_cell_wdi_int,Jamaica,1995,,1.7988,
comm_cell_wdi_int,Jamaica,1996,,2.1572,
comm_cell_wdi_int,Jamaica,1997,,2.583,
comm_cell_wdi_int,Jamaica,1998,,3.0515,
comm_cell_wdi_int,Jamaica,1999,,5.5614,
comm_cell_wdi_int,Jamaica,2000,,14.0712,
comm_cell_wdi_int,Jamaica,2001,,22.7795,
comm_cell_wdi_int,Jamaica,2002,,47.148,
comm_cell_wdi_int,Jamaica,2003,,59.337,
comm_cell_wdi_int,Jamaica,2004,,68.7649,
comm_cell_wdi_int,Jamaica,2005,,73.7408,
comm_cell_wdi_int,Jamaica,2006,,84.2161,
comm_cell_wdi_int,Jamaica,2007,,98.9141,
comm_cell_wdi_int,Jamaica,2008,,99.9152,
comm_cell_wdi_int,Jamaica,2009,,108.004,
comm_cell_wdi_int,Jamaica,2010,,115.769,
comm_cell_wdi_int,Jamaica,2011,,106.698,
comm_cell_wdi_int,Jamaica,2012,,97.9263,
comm_cell_wdi_int,Jamaica,2013,,102.246,
comm_cell_wdi_int,Jamaica,2014,,107.579,
comm_cell_wdi_int,Jamaica,2015,,111.942,
comm_cell_wdi_int,Jamaica,2016,,116.279,
comm_cell_wdi_int,Jamaica,2017,,109.783,
comm_cell_wdi_int,Jamaica,2018,,105.137,
comm_cell_wdi_int,Jamaica,2019,,107.105,
comm_cell_wdi_int,Jamaica,2020,,101.502,
comm_cell_wdi_int,Jamaica,2021,,102.387,
comm_cell_wdi_int,Jamaica,2022,,105.762,
comm_cell_wdi_int,Jamaica,2023,,115.092,
sanitation_wdi,Advanced economies,2000,98.4674,99.4482,99.8727
sanitation_wdi,Advanced economies,2001,98.4687,99.4482,99.8724
sanitation_wdi,Advanced economies,2002,98.2785,99.4482,99.8722
sanitation_wdi,Advanced economies,2003,98.0891,99.4482,99.8719
sanitation_wdi,Advanced economies,2004,98.0678,99.4482,99.8716
sanitation_wdi,Advanced economies,2005,98.1704,99.2779,99.8713
sanitation_wdi,Advanced economies,2006,98.2921,99.2218,99.8711
sanitation_wdi,Advanced economies,2007,98.4121,99.2224,99.8708
sanitation_wdi,Advanced economies,2008,98.5303,99.223,99.8705
sanitation_wdi,Advanced economies,2009,98.5038,99.2236,99.8702
sanitation_wdi,Advanced economies,2010,98.5652,99.2241,99.8774
sanitation_wdi,Advanced economies,2011,98.6537,99.214,99.884
sanitation_wdi,Advanced economies,2012,98.6539,99.1603,99.8856
sanitation_wdi,Advanced economies,2013,98.6532,99.1355,99.8856
sanitation_wdi,Advanced economies,2014,98.6524,99.1778,99.8855
sanitation_wdi,Advanced economies,2015,98.6314,99.137,99.8855
sanitation_wdi,Advanced economies,2016,98.578,99.1373,99.8854
sanitation_wdi,Advanced economies,2017,98.5246,99.1376,99.8788
sanitation_wdi,Advanced economies,2018,98.4713,99.1374,99.8664
sanitation_wdi,Advanced economies,2019,98.4179,99.1371,99.854
sanitation_wdi,Advanced economies,2020,98.3645,99.1369,99.8416
sanitation_wdi,Advanced economies,2021,98.3112,99.1366,99.8292
sanitation_wdi,Advanced economies,2022,98.6172,99.2262,99.8509
sanitation_wdi,Emerging markets,2000,64.8743,82.7209,90.7684
sanitation_wdi,Emerging markets,2001,65.5384,82.8258,90.4884
sanitation_wdi,Emerging markets,2002,66.5539,83.0886,90.8988
sanitation_wdi,Emerging markets,2003,67.9494,83.4139,91.3107
sanitation_wdi,Emerging markets,2004,69.8252,83.7393,91.7107
sanitation_wdi,Emerging markets,2005,72.2781,84.0551,92.2938
sanitation_wdi,Emerging markets,2006,74.2829,84.4084,92.8297
sanitation_wdi,Emerging markets,2007,75.3938,84.4705,93.314
sanitation_wdi,Emerging markets,2008,76.326,85.1667,93.6528
sanitation_wdi,Emerging markets,2009,77.2559,85.8874,93.9923
sanitation_wdi,Emerging markets,2010,78.1843,86.3147,94.3432
sanitation_wdi,Emerging markets,2011,79.1103,87.0491,94.8303
sanitation_wdi,Emerging markets,2012,80.0253,87.219,95.0614
sanitation_wdi,Emerging markets,2013,81.3135,88.0735,95.2969
sanitation_wdi,Emerging markets,2014,82.4328,89.6672,95.5817
sanitation_wdi,Emerging markets,2015,82.9765,90.2897,96.0727
sanitation_wdi,Emerging markets,2016,83.175,90.7085,96.2154
sanitation_wdi,Emerging markets,2017,83.257,90.7744,96.7174
sanitation_wdi,Emerging markets,2018,84.4435,91.4585,97.3674
sanitation_wdi,Emerging markets,2019,84.1309,92.1285,97.8685
sanitation_wdi,Emerging markets,2020,84.5739,92.8515,98.0348
sanitation_wdi,Emerging markets,2021,85.7843,93.6027,98.2115
sanitation_wdi,Emerging markets,2022,86.0119,93.9475,98.3866
sanitation_wdi,Low-income,2000,9.6702,20.3042,37.2044
sanitation_wdi,Low-income,2001,10.282,20.673,37.9517
sanitation_wdi,Low-income,2002,11.3937,21.3785,38.3674
sanitation_wdi,Low-income,2003,12.2687,22.1314,38.5908
sanitation_wdi,Low-income,2004,13.0815,22.9792,40.2934
sanitation_wdi,Low-income,2005,13.5511,23.8652,42.0545
sanitation_wdi,Low-income,2006,14.0325,25.0632,43.1437
sanitation_wdi,Low-income,2007,14.9295,25.9138,44.2306
sanitation_wdi,Low-income,2008,16.125,26.7577,45.3148
sanitation_wdi,Low-income,2009,16.9336,28.3079,45.9285
sanitation_wdi,Low-income,2010,17.8259,30.4253,45.9301
sanitation_wdi,Low-income,2011,18.3648,31.699,46.176
sanitation_wdi,Low-income,2012,18.7829,32.6984,48.1954
sanitation_wdi,Low-income,2013,18.5881,33.711,50.1546
sanitation_wdi,Low-income,2014,19.3093,34.268,51.1051
sanitation_wdi,Low-income,2015,19.8704,35.4418,52.5067
sanitation_wdi,Low-income,2016,21.0489,36.3771,53.435
sanitation_wdi,Low-income,2017,22.3016,38.4571,54.9399
sanitation_wdi,Low-income,2018,23.6323,40.6357,55.996
sanitation_wdi,Low-income,2019,24.9811,42.4009,57.049
sanitation_wdi,Low-income,2020,25.4646,43.4602,60.2543
sanitation_wdi,Low-income,2021,24.8747,43.7059,58.8417
sanitation_wdi,Low-income,2022,27.072,45.4364,61.8642
sanitation_wdi,Jamaica,2000,,82.7209,
sanitation_wdi,Jamaica,2001,,82.8258,
sanitation_wdi,Jamaica,2002,,82.9291,
sanitation_wdi,Jamaica,2003,,83.0316,
sanitation_wdi,Jamaica,2004,,83.2747,
sanitation_wdi,Jamaica,2005,,83.5165,
sanitation_wdi,Jamaica,2006,,83.757,
sanitation_wdi,Jamaica,2007,,83.996,
sanitation_wdi,Jamaica,2008,,84.2337,
sanitation_wdi,Jamaica,2009,,84.47,
sanitation_wdi,Jamaica,2010,,84.7049,
sanitation_wdi,Jamaica,2011,,84.9384,
sanitation_wdi,Jamaica,2012,,85.17,
sanitation_wdi,Jamaica,2013,,85.3992,
sanitation_wdi,Jamaica,2014,,85.6258,
sanitation_wdi,Jamaica,2015,,85.8496,
sanitation_wdi,Jamaica,2016,,86.0702,
sanitation_wdi,Jamaica,2017,,86.2874,
sanitation_wdi,Jamaica,2018,,86.4997,
sanitation_wdi,Jamaica,2019,,86.6316,
sanitation_wdi,Jamaica,2020,,86.6064,
sanitation_wdi,Jamaica,2021,,86.5801,
sanitation_wdi,Jamaica,2022,,86.5526,
water_drinking_wdi,Advanced economies,2000,99.2283,99.8894,100.0
water_drinking_wdi,Advanced economies,2001,99.2239,99.8893,100.0
water_drinking_wdi,Advanced economies,2002,99.0788,99.8504,100.0
water_drinking_wdi,Advanced economies,2003,99.0711,99.8493,100.0
water_drinking_wdi,Advanced economies,2004,99.0645,99.8482,100.0
water_drinking_wdi,Advanced economies,2005,98.897,99.8282,100.0
water_drinking_wdi,Advanced economies,2006,98.9038,99.8338,100.0
water_drinking_wdi,Advanced economies,2007,98.9106,99.8504,100.0
water_drinking_wdi,Advanced economies,2008,99.1029,99.8605,100.0
water_drinking_wdi,Advanced economies,2009,99.109,99.8806,100.0
water_drinking_wdi,Advanced economies,2010,99.1293,99.9009,100.0
water_drinking_wdi,Advanced economies,2011,99.1861,99.9156,100.0
water_drinking_wdi,Advanced economies,2012,99.3347,99.9301,100.0
water_drinking_wdi,Advanced economies,2013,99.4436,99.9331,100.0
water_drinking_wdi,Advanced economies,2014,99.4641,99.9358,100.0
water_drinking_wdi,Advanced economies,2015,99.4846,99.9259,100.0
water_drinking_wdi,Advanced economies,2016,99.5176,99.9218,100.0
water_drinking_wdi,Advanced economies,2017,99.5988,99.9327,100.0
water_drinking_wdi,Advanced economies,2018,99.6798,99.9446,100.0
water_drinking_wdi,Advanced economies,2019,99.7378,99.9478,100.0
water_drinking_wdi,Advanced economies,2020,99.7559,99.9477,100.0
water_drinking_wdi,Advanced economies,2021,99.7585,99.9497,100.0
water_drinking_wdi,Advanced economies,2022,99.7585,99.9849,100.0
water_drinking_wdi,Emerging markets,2000,83.5908,91.1949,96.8838
water_drinking_wdi,Emerging markets,2001,84.1354,91.1741,96.9141
water_drinking_wdi,Emerging markets,2002,84.5361,91.7392,96.8835
water_drinking_wdi,Emerging markets,2003,85.0651,92.0221,96.9211
water_drinking_wdi,Emerging markets,2004,85.459,92.1922,96.926
water_drinking_wdi,Emerging markets,2005,86.031,92.8152,97.0296
water_drinking_wdi,Emerging markets,2006,86.6613,92.9137,96.9824
water_drinking_wdi,Emerging markets,2007,87.3794,93.2517,97.1769
water_drinking_wdi,Emerging markets,2008,87.9577,93.5748,97.4935
water_drinking_wdi,Emerging markets,2009,88.3843,93.8825,97.4347
water_drinking_wdi,Emerging markets,2010,88.8442,94.1761,97.5434
water_drinking_wdi,Emerging markets,2011,89.6277,94.5876,97.6997
water_drinking_wdi,Emerging markets,2012,90.4109,94.6933,97.8959
water_drinking_wdi,Emerging markets,2013,90.9474,94.931,98.2051
water_drinking_wdi,Emerging markets,2014,91.3761,95.2101,98.3204
water_drinking_wdi,Emerging markets,2015,92.0991,95.4944,98.4385
water_drinking_wdi,Emerging markets,2016,92.6156,95.7729,98.5104
water_drinking_wdi,Emerging markets,2017,92.8079,96.0213,98.6674
water_drinking_wdi,Emerging markets,2018,93.1326,96.168,98.8752
water_drinking_wdi,Emerging markets,2019,93.4778,96.3581,98.9924
water_drinking_wdi,Emerging markets,2020,93.6469,96.6927,99.1675
water_drinking_wdi,Emerging markets,2021,93.8284,96.9661,99.2126
water_drinking_wdi,Emerging markets,2022,94.1087,97.1691,99.2368
water_drinking_wdi,Low-income,2000,43.7499,52.8775,66.4165
water_drinking_wdi,Low-income,2001,44.1186,54.1514,66.8755
water_drinking_wdi,Low-income,2002,44.6754,55.3148,67.1321
water_drinking_wdi,Low-income,2003,45.601,56.3643,68.1879
water_drinking_wdi,Low-income,2004,47.1839,56.3418,69.2453
water_drinking_wdi,Low-income,2005,48.4844,57.7458,70.3033
water_drinking_wdi,Low-income,2006,48.8595,58.8475,71.3264
water_drinking_wdi,Low-income,2007,49.247,59.6695,71.4333
water_drinking_wdi,Low-income,2008,49.6487,60.4885,71.5377
water_drinking_wdi,Low-income,2009,50.4963,61.7033,71.6391
water_drinking_wdi,Low-income,2010,51.648,63.1601,71.8301
water_drinking_wdi,Low-income,2011,52.5946,63.3529,72.4347
